id;text;sber;vtb;gazprom;alfabank;raiffeisen;rshb;company
13425;Золоту не хватает самосвалов // Polymetal отчитался о влиянии санкций на бизнес;NULL;NULL;NULL;NULL;NULL;NULL;-1
10119;«Россети Сибирь» получили чистый убыток по МСФО в 2022 году;NULL;NULL;NULL;NULL;NULL;NULL;-1
15448;как узнать свой расчетный счет в сбербанке;0;NULL;NULL;NULL;NULL;NULL;NULL
7703;Кредит для малого бизнеса альфа банк;NULL;NULL;NULL;0;NULL;NULL;NULL
13724;ВТБ разместит 25 августа однодневные бонды серии КС-4-532 на 150 млрд руб. по це;NULL;0;NULL;NULL;NULL;NULL;NULL
7682;В санкционный список попали Сбербанк, ВТБ, Газпромбанк, ВЭБ и РСХБ Пять российских банков попали в санкционный список Евросоюза,;-1;-1;-1;NULL;NULL;-1;NULL
1616;Встреча Путина и Эрдогана не состоится до президентских выборов в РФ, сообщили в;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9833;банк уралсиб кредиты потребительский;NULL;NULL;NULL;NULL;NULL;NULL;NULL
14598;Райффайзенбанк потребительский кредит условия;NULL;NULL;NULL;NULL;0;NULL;NULL
18690;Ипотечный кредит под строительство сбербанк;0;NULL;NULL;NULL;NULL;NULL;NULL
19318;бля ебучий данскомп и сбербанк;-1;NULL;NULL;NULL;NULL;NULL;NULL
7289;SPO Сбербанка стало лучшей сделкой 2013 года;1;NULL;NULL;NULL;NULL;NULL;NULL
2847;А как сбербанк-карте дать новый пароль? Я не могу запомнить 4 цифры второй карты. И как дурочка перевожу всё на ту, к которой пин знаю.;0;NULL;NULL;NULL;NULL;NULL;NULL
10834;Получить кредитную карту альфа банк;NULL;NULL;NULL;0;NULL;NULL;NULL
11728;100000 кредит в сбербанке;0;NULL;NULL;NULL;NULL;NULL;NULL
13658;кредит на зарплатную карту сбербанка;0;NULL;NULL;NULL;NULL;NULL;NULL
11940;ЕС ограничил доступ к рынкам капитала Сбербанку, ВТБ, Газпромбанку, ВЭБу, Россельхозбанку;-1;-1;-1;NULL;NULL;-1;NULL
5430;москва втб 24 ипотека;NULL;0;NULL;NULL;NULL;NULL;NULL
16163;ВТБ предложил запустить государственную программу «детских депозитов»;NULL;1;NULL;NULL;NULL;NULL;NULL
15765;Enel продаст долю в российской «дочке» ЛУКОЙЛу и «Газпромбанк-Фрезия»;NULL;NULL;1;NULL;NULL;NULL;NULL
15526;мой альфа банк;NULL;NULL;NULL;0;NULL;NULL;NULL
10416;карта мастеркард голд сбербанк кредитная;0;NULL;NULL;NULL;NULL;NULL;NULL
9650;В Альфа банке нет стаканчиков для воды :);NULL;NULL;NULL;-1;NULL;NULL;NULL
14211;Оформить заявку кредит втб 24;NULL;0;NULL;NULL;NULL;NULL;NULL
10462;потребительские кредиты в тюмени сбербанк;0;NULL;NULL;NULL;NULL;NULL;NULL
18762;сбербанк кредит пароль;0;NULL;NULL;NULL;NULL;NULL;NULL
4858;помощь в получении кредита в сбербанке;0;NULL;NULL;NULL;NULL;NULL;NULL
376;Протесты в Ливии привели к закрытию нефтяного месторождения и экспортного газопр;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13684;| Потребительский #кредит в тюмени втб 24;NULL;0;NULL;NULL;NULL;NULL;NULL
5468;Оформить кредит в альфа банке город челябинск;NULL;NULL;NULL;0;NULL;NULL;NULL
8930;"Дивиденды ""ЛУКОЙЛа"" оказались немного ниже ожиданий";NULL;NULL;NULL;NULL;NULL;NULL;0
4330;Составлены сетки Финала "Минских надежд 2013 на призы ОАО "БПС-Сбербанк".;0;NULL;NULL;NULL;NULL;NULL;NULL
12020;RT @hozafevedygu: Сбербанк в Нижегородской области с начала 2014 года выдал более 600 кредитов ведущим личное подсобное хозяйство физлицам …;0;NULL;NULL;NULL;NULL;NULL;NULL
9328;RT @NEpytin: Крым в составе РФ.Но тем не менее «Газпром»в Крым не идет,"Роснефть" в Крым не идет,РЖД в Крым не идут, Сбербанк не идет…И это…;0;NULL;NULL;NULL;NULL;NULL;NULL
16562;В главном здании #сбербанк фотографировать запрещено. Но когда речь заходит об Олимпиаде, делается…;0;NULL;NULL;NULL;NULL;NULL;NULL
244;Пожалуйста, пусть сбербанк в тц у вокзала работает. Ни копейки наличных, на карточке косарь.;0;NULL;NULL;NULL;NULL;NULL;NULL
12976;Кредиты в сбер банке россии;0;NULL;NULL;NULL;NULL;NULL;NULL
6157;#кредитование Бизнес по продаже билетов: Чтобы начать работать в интернете вам необходимо избавится от...  #сбербанк;0;NULL;NULL;NULL;NULL;NULL;NULL
10490;RT @sberbank Цифра дня: 60 млн пользователей подключили услугу «Мобильный банк» Сб;1;NULL;NULL;NULL;NULL;NULL;NULL
11590;кредитная ставка банк уралсиб;NULL;NULL;NULL;NULL;NULL;NULL;NULL
19469;Заявка на кредит в уралсиб банке;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10111;банк втб кредиты украина;NULL;0;NULL;NULL;NULL;NULL;NULL
12203;взять потребительский кредит в сбербанке;0;NULL;NULL;NULL;NULL;NULL;NULL
13887;| Альфа банк онлайн #кредит заявки;NULL;NULL;NULL;0;NULL;NULL;NULL
549;Санкции ЕС не нарушили финансовую устойчивость Газпромбанка: "Введенные Европейским союзом в отношении ряда российских компаний и бан...;NULL;NULL;1;NULL;NULL;NULL;NULL
5262;«НОВАТЭК» – одна из топовых идей на этот год;NULL;NULL;NULL;NULL;NULL;NULL;1
16304;Программы кредитования сбербанк жилье брянск;0;NULL;NULL;NULL;NULL;NULL;NULL
5211;кредит на свадьбу в сбербанке;0;NULL;NULL;NULL;NULL;NULL;NULL
14559;сбербанк предоставление кредитов;0;NULL;NULL;NULL;NULL;NULL;NULL
15162;Никаких контактов с Москвой по обсуждению плана Зеленского не проводится - Песко;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18315;Взять кредит в втб 24 в вологде;NULL;0;NULL;NULL;NULL;NULL;NULL
8682;вот вроде офис Газпром банка а ёлка ужасная;NULL;NULL;-1;NULL;NULL;NULL;NULL
17199;Объем вкладов в Поволжском Сбербанке превысил полтриллиона рублей;0;NULL;NULL;NULL;NULL;NULL;NULL
3650;Мой кредит в альфа банке;NULL;NULL;NULL;0;NULL;NULL;NULL
4053;Россельхозбанк йошкар ола кредит;NULL;NULL;NULL;NULL;NULL;0;NULL
5720;Apple впервые оштрафовали за отказ локализовать данные россиян;NULL;NULL;NULL;NULL;NULL;NULL;-1
2454;RT @duremarik: Оказывается банк ВТБ ждал утверждения кредита в $1.5 млрд. Кредиторы сказали сначала посмотрят какие будут санкции;NULL;-1;NULL;NULL;NULL;NULL;NULL
997;Глава «Сбера» все еще ожидает от ЦБ перехода к смягчению ДКП в ближайшие полгода;1;NULL;NULL;NULL;NULL;NULL;NULL
18097;"мечел" согласовал с газпромбанком ковенантные каникулы до 2015 г;NULL;NULL;0;NULL;NULL;NULL;NULL
136;рассчитать жилищный кредит в сбербанке;0;NULL;NULL;NULL;NULL;NULL;NULL
6291;ВТБ разместит 10 марта однодневные бонды серии КС-4-416 на 150 млрд руб. по цене;NULL;0;NULL;NULL;NULL;NULL;NULL
2072;CAS отклонил апелляцию ОКР на решение о приостановке членства в МОК;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11703;@alfa_bank их я кое-как решил. Я имел ввиду в будущем. Но с таким обслуживанием наврятли. Даже #офиса нету, а кредиты выдаёте.;NULL;NULL;NULL;-1;NULL;NULL;NULL
15033;Порадовал @AlfabankBY отменой комиссии за пользование кредитом в этом месяце. Может совсем отменят.;NULL;NULL;NULL;1;NULL;NULL;NULL
5444;Открыть кредитную карту втб 24;NULL;0;NULL;NULL;NULL;NULL;NULL
2810;ЛУКОЙЛ в 2022г увеличил переработку нефти на 11,3%, до 70,1 млн тонн;NULL;NULL;NULL;NULL;NULL;NULL;0
14530;ВТБ разместит 27 апреля однодневные бонды серии КС-4-450 на 100 млрд руб. по цен;NULL;0;NULL;NULL;NULL;NULL;NULL
7365;ВТБ разместил 63,7% выпуска однодневных бондов серии КС-4-513 на 95,6 млрд рубле;NULL;0;NULL;NULL;NULL;NULL;NULL
10223;ВТБ разместил 59,9% выпуска однодневных бондов серии КС-4-381 на 29,9 млрд рубле;NULL;0;NULL;NULL;NULL;NULL;NULL
185;RT @Domosedbuhi: Сбербанк повысит обороты;1;NULL;NULL;NULL;NULL;NULL;NULL
17636;За счет выхода из совместного предприятия со Сбером убыток VK от ассоциированных компаний сократился практически до нуля;1;NULL;NULL;NULL;NULL;NULL;NULL
8414;RT @tulbox71: #tula #Тула / Друзья! 17-18 числа в помещении сбербанка по адресу пр.Ленина, 85 с 10 до 18 часов будет проходи..;0;NULL;NULL;NULL;NULL;NULL;NULL
18198;банк уралсиб автокредит;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5493;@fi1onov @sberbank Вот такая она(фотка без цифр-т.к.банки запрещают выкладывать фотку банк.карточки с цифрами).;0;NULL;NULL;NULL;NULL;NULL;NULL
7403;"Газпромбанк приобрел у шведской Ingka торговые центры ""Мега""";NULL;NULL;1;NULL;NULL;NULL;NULL
13034;Недавно забежал в сбербанк на перекрестке Шеронова-Ленина. Как только зашел, возникло ощущение, что попал в газовую..;-1;NULL;NULL;NULL;NULL;NULL;NULL
5551;RT @gilafosyroci: альфа банк ростов на дону потребительский кредит калькулятор;NULL;NULL;NULL;0;NULL;NULL;NULL
16752;Взять кредит в втб 24 г мытищи;NULL;0;NULL;NULL;NULL;NULL;NULL
4044;@sberbank фантастические уроды, в огромном центре обслуживания в 17:00 нельзя купить валюту, так как у них заведующий ОБЕДАЕТ!;-1;NULL;NULL;NULL;NULL;NULL;NULL
12149;РОСНЕДРА УТВЕРДИЛИ ЗАПАСЫ НОВОГО МЕСТОРОЖДЕНИЯ ЛУКОЙЛА НА КАСПИИ В ОБЪЕМЕ 8,4 МЛ;NULL;NULL;NULL;NULL;NULL;NULL;0
17374;"	Tue, 26 Jul 2022 11:15:47 +0300	['AFLT']";NULL;NULL;NULL;NULL;NULL;NULL;NULL
4534;Денежный кредит на увеличение груди от Альфа-Банка! Ваша грудь растет вместе с процентами! #alfabank;NULL;NULL;NULL;-1;0;NULL;NULL
1289;RT @dicks_botha: банк втб 24 воронеж кредиты физическим лицам;NULL;0;NULL;NULL;NULL;NULL;NULL
4115;сбербанк ипотечные кредиты физическим лицам;0;NULL;NULL;NULL;NULL;NULL;NULL
14854;В Ижевске нашли свалку документов с личными данными клиентов Сбербанка;-1;NULL;NULL;NULL;NULL;NULL;NULL
16899;активация кредитной карты сбербанка;0;NULL;NULL;NULL;NULL;NULL;NULL
5342;@imerkouri Альфа Банк заработал);NULL;NULL;NULL;1;NULL;NULL;NULL
7242;Акции ВТБ прибавляют 4% перед публикацией отчета;NULL;0;NULL;NULL;NULL;NULL;NULL
15857;Кредиты в россельхозбанке онлайн заявка иркутская область оса;NULL;NULL;NULL;NULL;NULL;0;NULL
8514;300000 в кредит в сбербанке;0;NULL;NULL;NULL;NULL;NULL;NULL
12545;Bloomberg узнал о плане Apple сократить найм сотрудников;NULL;NULL;NULL;NULL;NULL;NULL;-1
6950;| Втб 24 потребительские #Кредиты процентная ставка;NULL;0;NULL;NULL;NULL;NULL;NULL
18364;ГПБ Инвестиции отрицает утечку данных своих клиентов;NULL;NULL;-1;NULL;NULL;NULL;NULL
1708;Вот есть у меня на карте деньги, а снять я их на могу. Потому что @sberbank Лимит видите ли. А предупредить?;-1;NULL;NULL;NULL;NULL;NULL;NULL
18067;ЛУКОЙЛ — дивидендный король рынка;NULL;NULL;NULL;NULL;NULL;NULL;1
10630;Вот за что я люблю мамину работу..Сбербанк радует как никогда;1;NULL;NULL;NULL;NULL;NULL;NULL
8495;Сбербанк предлагает открывать онлайн-вклады, не выходя из дома;0;NULL;NULL;NULL;NULL;NULL;NULL
19099;#RT СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС  #FF;-1;-1;NULL;NULL;NULL;NULL;NULL
4;сбербанк онлайн малый бизнес инструкция;0;NULL;NULL;NULL;NULL;NULL;NULL
4562;Fitch опустило рейтинг ВТБ ниже уровня Сбербанка;0;-1;NULL;NULL;NULL;NULL;NULL
4754;Сбербанк хочу взять кредит 250тыс;0;NULL;NULL;NULL;NULL;NULL;NULL
11315;#fact взять кредит альфа банк;NULL;NULL;NULL;0;NULL;NULL;NULL
12710;WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ  #InstantFollow #AutoFollowBack #IFollowBack #InstantFollowBack;-1;-1;NULL;NULL;NULL;NULL;NULL
19035;Россельхозбанк кредит стань фермером;NULL;NULL;NULL;NULL;NULL;0;NULL
7506;| Расчет Ипотечного кредита калькулятор втб 24;NULL;0;NULL;NULL;NULL;NULL;NULL
1021;образец заявления в сбербанк о спорной операции с наличными  #операции #о;0;NULL;NULL;NULL;NULL;NULL;NULL
2305;кредиты на отечественные автомобили сбербанк;0;NULL;NULL;NULL;NULL;NULL;NULL
1185;автокредит сбербанк в ижевске;0;NULL;NULL;NULL;NULL;NULL;NULL
1856;заявка на кредитную карту райффайзен;NULL;NULL;NULL;NULL;0;NULL;NULL
7692;RT @kawotacerubi: альфа банк казань ипотека;NULL;NULL;NULL;0;NULL;NULL;NULL
8543;Высчитывать проценты по кредиту сбербанк;0;NULL;NULL;NULL;NULL;NULL;NULL
8500;банк втб 24 вход в личный кабинет;NULL;0;NULL;NULL;NULL;NULL;NULL
12815;@andrey_tlt_63 Райфайзен, Заубер и др. банки вон из России, а япошкам большой привет от российско-китайского сотрудничества!;NULL;NULL;NULL;NULL;-1;NULL;NULL
12871;RT @saidogfb: кредит на строительство дома в россельхозбанке;NULL;NULL;NULL;NULL;NULL;0;NULL
14123;| Альфа банк расчет кредита;NULL;NULL;NULL;0;NULL;NULL;NULL
13548;Сберегать или тратить. Будут ли россияне брать больше кредитов или вернутся ко вкладам?;1;NULL;NULL;NULL;NULL;NULL;NULL
8131;Снижение процентной ставки по кредиту на недвижимость сбербанк;1;NULL;NULL;NULL;NULL;NULL;NULL
10074;"Сбербанк" из-за сбоя повторно списал средства с карт некоторых клиентов;-1;NULL;NULL;NULL;NULL;NULL;NULL
8001;АКЦИОНЕРЫ ВТБ УТВЕРДИЛИ ДОПЭМИССИЮ НА 302 МЛРД РУБЛЕЙ - МАТЕРИАЛЫ БАНКА;NULL;0;NULL;NULL;NULL;NULL;NULL
19635;Сбербанк намерен сокращать количество банкоматов;-1;NULL;NULL;NULL;NULL;NULL;NULL
8578;RT @kenusozuxac:  Сбербанк и ВТБ пообещали выполнить обязательства перед клиентами;1;1;NULL;NULL;NULL;NULL;NULL
2436;#nsoforum Банк УРАЛСИБ завершил перевод первого пула банков-партнеров Мастер-Банка: Банк УРАЛСИБ ...  #inet-portal;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18073;ЕС распространил санкции на Сбербанк, ВТБ, ВЭБ, Газпромбанк и Россельхозбанк;-1;-1;-1;NULL;NULL;-1;NULL
2502;ВТБ назначил ВОСА на 25 апреля, в повестке вопрос допэмиссии;NULL;0;NULL;NULL;NULL;NULL;NULL
3045;Глава НЛМК счел экспорт металлургической продукции почти бессмысленным;NULL;NULL;NULL;NULL;NULL;NULL;-1
339;Сбербанк #открыл #Центр ипотечного кредитования в Кирове:;0;NULL;NULL;NULL;NULL;NULL;NULL
17120;Райффайзенбанк оформить кредит наличными;NULL;NULL;NULL;NULL;0;NULL;NULL
3362;Сбербанк начал выплаты возмещений вкладчикам Волжского Социального Банка;1;NULL;NULL;NULL;NULL;NULL;NULL
3424;Из денег по выплате компенсации вкладчикам Сбербанка СССР погасят задолженность по зарплате;0;NULL;NULL;NULL;NULL;NULL;NULL
18761;«Сбер» имеет все шансы восстановить российский фондовый рынок после шока прошлого года;1;NULL;NULL;NULL;NULL;NULL;NULL
8696;Туры кредит альфа банк;NULL;NULL;NULL;0;NULL;NULL;NULL
18038;Филиал «Северная столица» ЗАО «Райффайзенбанк»;NULL;NULL;NULL;NULL;0;NULL;NULL
14385;Ведомости: Сбербанк получил контрольный пакет в "городе миллионеров" на Рублевке;0;NULL;NULL;NULL;NULL;NULL;NULL
7647;кредит в сбербанке для неработающих;0;NULL;NULL;NULL;NULL;NULL;NULL
19195;Вышел в свет новый номер газеты «Копилка» – путеводителя в мире продуктов и услуг Сбербанка России;0;NULL;NULL;NULL;NULL;NULL;NULL
7767;RT @VGromootvod: альфа банк требования к заемщику;NULL;NULL;NULL;0;NULL;NULL;NULL
17429;«Аэрофлот» и «Победа» перейдут на российскую систему бронирования билетов;NULL;NULL;NULL;NULL;NULL;NULL;1
16961;калужский филиал райффайзенбанк кредиты населению;NULL;NULL;NULL;NULL;0;NULL;NULL
433;калькулятор кредитной карты сбербанка;0;NULL;NULL;NULL;NULL;NULL;NULL
12462;Сборы на концерт ЧонМина ведутся на карту Сбербанка: /  / 4276 1200 1043 6488 /  / Большая просьба всем перечис..;0;NULL;NULL;NULL;NULL;NULL;NULL
10697;Лучшие бухгалтеры Марий Эл высоко оценили сервис от Сбербанка;1;NULL;NULL;NULL;NULL;NULL;NULL
125;Райффайзен банк автокредиты в санкт петербурге;NULL;NULL;NULL;NULL;0;NULL;NULL
16514;RT @whiskieman: Второй день бьюсь с сайтом #сбербанк в попытке открыть дебетовый счет. Ребята, это ад! Хуже Сбербанка может быть только Поч…;-1;NULL;NULL;NULL;NULL;NULL;NULL
15909;@alfa_bank есть какая то информация?;NULL;NULL;NULL;0;NULL;NULL;NULL
15879;сбербанк казань потребительский кредит калькулятор;0;NULL;NULL;NULL;NULL;NULL;NULL
7383;Россети Сибирь в I квартале увеличили чистую прибыль в 2,2 раза;NULL;NULL;NULL;NULL;NULL;NULL;1
7233;ВТБ размещает однодневные облигации на 100 млрд рублей с доходностью 7,23% годовых;NULL;0;NULL;NULL;NULL;NULL;NULL
16750;@v_barbariska Сбербанк в ночь на 11 августа приостановит работу некоторых ...  #Взаимныйфолловинг;-1;NULL;NULL;NULL;NULL;NULL;NULL
15861;в северном банке сбербанка россии онлайн-банкингом пользуются более 180 тысяч клиентов, которые ежемесячно совершают 500 тысяч операций;0;NULL;NULL;NULL;NULL;NULL;NULL
16265;Сбербанку Югры назначили управляющего;0;NULL;NULL;NULL;NULL;NULL;NULL
1088;Fitch опустило рейтинг ВТБ ниже уровня Сбербанка;0;-1;NULL;NULL;NULL;NULL;NULL
12419;RT @EduardBagirov: Сбербанк по-прежнему уверенно держит планку самой поганой и омерзительной говноконторы страны. Никогда не было у них мое…;-1;NULL;NULL;NULL;NULL;NULL;NULL
18570;Аэрофлот в мае планирует открыть рейсы в Тунис;NULL;NULL;NULL;NULL;NULL;NULL;1
8838;Россельхозбанк и Газпромбанк попросили о господдержке из-за санкций;NULL;NULL;-1;NULL;NULL;-1;NULL
6843;кредит 20 тысяч в сбербанке;0;NULL;NULL;NULL;NULL;NULL;NULL
2544;Ипотечные кредиты сбер банк;0;NULL;NULL;NULL;NULL;NULL;NULL
3949;Банкоматы в олимпийском Сочи оснастят интерфейсом на китайском и французском: Сбербанк оснастит банкоматы в Со...;0;NULL;NULL;NULL;NULL;NULL;NULL
14631;Ай да #Сбербанк, ай да молодцы. Какую штуку придумали. Копилка короче !;1;NULL;NULL;NULL;NULL;NULL;NULL
15578;Газпромбанк 24 мая начнет второе доразмещение бондов серии 001Р-26 на 1 млрд руб;NULL;NULL;0;NULL;NULL;NULL;NULL
12990;кредит по временной регистрации сбербанк;0;NULL;NULL;NULL;NULL;NULL;NULL
10322;И снова я здесь))) (@ Сбербанк);0;NULL;NULL;NULL;NULL;NULL;NULL
11038;ВТБ размещает однодневные облигации на 150 млрд рублей с доходностью 8,14% годовых;NULL;0;NULL;NULL;NULL;NULL;NULL
8879;Болгария договорилась о покупке СПГ у США по ценам, ниже чем у «Газпрома»;NULL;NULL;NULL;NULL;NULL;NULL;-1
6502;руководство по программе сбербанк бизнес  #бизнес #руководство;0;NULL;NULL;NULL;NULL;NULL;NULL
7303;Мой ответ на вопрос "Что будет, если заказала карту Сбербанка, а получать не пришла, передумала?";0;NULL;NULL;NULL;NULL;NULL;NULL
17327;Годовая прибыль ВТБ окажется близко к верхней границе прогнозного диапазона;NULL;0;NULL;NULL;NULL;NULL;NULL
19270;RT @adme_ru: Говорящий банкомат от Сбербанка, только не это!;-1;NULL;NULL;NULL;NULL;NULL;NULL
10129;Сбербанк и Россельхозбанк «разделят» вкладчиков «Смоленского банка» по алфавиту - Комсомольская правда;0;NULL;NULL;NULL;NULL;0;NULL
10327;Глава Сбербанка рассказал, в каких валютах хранить сбережения;0;NULL;NULL;NULL;NULL;NULL;NULL
10443;ВТБ разместил 52,7% выпуска однодневных бондов серии КС-4-477 на 52,7 млрд рубле;NULL;0;NULL;NULL;NULL;NULL;NULL
14962;Сбербанк на Большой Волге /  / Сбербанк / График работы: / Пн.:с 09:00 до 19:00 / Вт.:с 10:00 до 19:00 / Ср.:..;0;NULL;NULL;NULL;NULL;NULL;NULL
6804;RT @russia_trend: В список санкций ЕС против России будут включены Сбербанк и ВТБ, сообщили источники;-1;-1;NULL;NULL;NULL;NULL;NULL
1721;Как взять кредит для организации сбербанк;0;NULL;NULL;NULL;NULL;NULL;NULL
10086;втб 24 томск кредит;NULL;0;NULL;NULL;NULL;NULL;NULL
17581;ВТБ финансирует строительство емкостей для хранения зерна в Мордовии на 1,3 млрд рублей;NULL;0;NULL;NULL;NULL;NULL;NULL
9615;RT @ebrigxylt: Сбербанк снижает процентные ставки по ипотеке;1;NULL;NULL;NULL;NULL;NULL;NULL
16233;Акционеры ЛУКОЙЛа досрочно прекратили полномочия Алекперова;NULL;NULL;NULL;NULL;NULL;NULL;-1
7827;сбербанк россии кредиты калькулятор;0;NULL;NULL;NULL;NULL;NULL;NULL
15073;Сеть магазинов re:Store подтвердила, что завезла технику Apple в июне;NULL;NULL;NULL;NULL;NULL;NULL;1
137;"В 1 квартале 2022 года чистая прибыль составила 2 млрд рублей против 2,6 млрд рублей годом ранее.""";NULL;NULL;NULL;NULL;NULL;NULL;NULL
699;Санкции ЕС не нарушили финансовую устойчивость Газпромбанка  #МСК;NULL;NULL;1;NULL;NULL;NULL;NULL
17232;@sberbank Слышала, что якобы если снимаешь с денежного вклада  более 50000 руб., то с суммы, превышающей 50000 руб., нужно платить налог?;0;NULL;NULL;NULL;NULL;NULL;NULL
6550;сбербанк новосибирск заявка на кредит;0;NULL;NULL;NULL;NULL;NULL;NULL
11145;ВТБ разместит 7 июня однодневные бонды серии КС-4-476 на 100 млрд руб. по цене 9;NULL;0;NULL;NULL;NULL;NULL;NULL
16078;Нет причин не доверять заявлениям топ-менеджмента ВТБ;NULL;0;NULL;NULL;NULL;NULL;NULL
4475;RT @I_M_HO: Банк ВТБ в рекламном ролике объяснил, как украсть много денег и жить в Лондоне;NULL;-1;NULL;NULL;NULL;NULL;NULL
17847;Лучше ничего не пишите о банкоматах Альфа банка. Пожалеете потом в судебном порядке :-(;NULL;NULL;NULL;-1;NULL;NULL;NULL
11231;Нет, ни разу в жизни не пользовался. @alfa_bank;NULL;NULL;NULL;0;NULL;NULL;NULL
8951;Потребительский кредит в россельхозбанке;NULL;NULL;NULL;NULL;NULL;0;NULL
10496;расчет ипотеки в сбербанке  #1DayLive;0;NULL;NULL;NULL;NULL;NULL;NULL
1700;перевод осуществляется путём печати платёжки формы ПД-4 для оплаты в Сбербанке или других банках, принимающих платежи на;0;NULL;NULL;NULL;NULL;NULL;NULL
18887;Расширенная информация о пассажирах нужна для безопасности, это международная пр;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4405;Поволжский Сбербанк проводит акцию для малого бизнеса: Поволжский банк ОАО «Сбербанк России» о...  #Саратов;1;NULL;NULL;NULL;NULL;NULL;NULL
2371;Банкир Дмитрий Ананьев сам рассказал Forbes, почему на него наехал Газпромбанк;NULL;NULL;-1;NULL;NULL;NULL;NULL
16610;Сбербанк в марте планирует выдать ипотеку на 300 млрд руб., всего за I квартал -;1;NULL;NULL;NULL;NULL;NULL;NULL
15964;RT @HAPKOTNKN: Михаил Задорнов: прирост депозитной базы ВТБ 24 за ноябрь составил 3,6%, или 103 млрд рублей;NULL;1;NULL;NULL;NULL;NULL;NULL
